p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,z,diversification,status,prior_reduction98,reduction98,ireduction98,geoid,base_vmt,base_emissions98,base_ef98,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg98,min_annual_emissions_chg98,emissions98,effect_emissions98,effect_ef98,effect_vmt
0,0,1,0,0,0,0,0,0,0,2047,30000,104489468.53976905,104557019.15249717,0.07868713981398416,0.6097126893628209,0.11,success,136545.84636243398,136607.91265623507,0.9125905911293258,36055,7108036028.08,2679641.8200000003,3.769876530470846e-4,22.516870909374568,23,10,0,1,230,100,1553664092.7468452,67550612.72812371,10000,0,0,0,2543033.9073437653,NA,NA,NA
0,0,1,0,0,0,0,0,0,0,2048,30000,104557019.15249717,104626798.93544532,0.07873965442832127,0.6097141257338039,0.11,success,136607.91265623507,136669.97895003617,0.9125508776314292,36055,7159095882.42,2697907.38,3.768502928735775e-4,23.259927649383926,24,10,0,1,240,100,1674714790.7556427,69779782.94815178,10000,0,0,0,2561237.4010499637,NA,NA,NA
0,0,1,0,0,0,0,0,0,0,2049,30000,104626798.93544532,104698881.45123076,0.0787939020249315,0.6097164285959235,0.11,success,136669.97895003617,136732.04524383726,0.9125111641335324,36055,7210155736.76,2716172.94,3.767148781755103e-4,24.027505261813594,25,10,0,1,250,100,1802062894.6360195,72082515.78544079,10000,0,0,0,2579440.8947561625,NA,NA,NA
0,0,1,0,0,0,0,0,0,0,2050,30000,104698881.45123076,104773342.69003713,0.07884993979222987,0.6097196265433872,0.11,success,136732.04524383726,136794.11153763835,0.9124714506356357,36055,7261215591.1,2734438.5,3.7658136791194767e-4,24.82041293545344,26,10,0,1,260,100,1935992208.9653683,74461238.80636032,10000,0,0,0,2597644.388462362,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2025,30000,0,9920726.432999996,0.007466104085763954,0.6068301814250004,0.3777777777777778,success,0,7810.826496783968,0.9649554070113896,36057,790423636.2,413760.7,5.234670131945632e-4,11.023029369999996,1,10,0,1,10,100,33069088.10999999,33069088.10999999,10000,0,0,0,405949.873503216,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2026,30000,9920726.432999996,20168836.838288993,0.01517858960635812,0.588783553567416,0.3777777777777778,success,7810.826496783968,15621.652993567935,0.9299108140227791,36057,795982560.5,408932.18,5.137451500735487e-4,11.386789339209997,2,10,0,1,20,100,68320736.03525998,34160368.01762999,10000,0,0,0,393310.52700643206,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2027,30000,20168836.838288993,30755134.886952527,0.02314558714913189,0.5708641817209213,0.3777777777777778,success,15621.652993567935,23432.479490351903,0.8948662210341687,36057,801541484.8000001,404103.66,5.041581348728713e-4,11.762553387403925,3,10,0,1,30,100,105862980.48663533,35287660.162211776,10000,0,0,0,380671.18050964805,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2028,30000,30755134.886952527,41690780.77122196,0.0313754956108172,0.5530762653338825,0.3777777777777778,success,23432.479490351903,31243.30598713587,0.8598216280455582,36057,807100409.1,399275.14,4.947031812872364e-4,12.150717649188254,4,10,0,1,40,100,145808611.79025903,36452152.94756476,10000,0,0,0,368031.83401286416,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2029,30000,41690780.77122196,52987302.96967228,0.03987699105173812,0.5354241424364614,0.3777777777777778,success,31243.30598713587,39054.132483919835,0.8247770350569478,36057,812659333.4000001,394446.62,4.853775792492485e-4,12.551691331611465,5,10,0,1,50,100,188275369.97417197,37655073.99483439,10000,0,0,0,355392.48751608015,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2030,30000,52987302.96967228,64656610.40067145,0.048659035842209424,0.5179122942138156,0.3777777777777778,success,39054.132483919835,46864.9589807038,0.7897324420683374,36057,818218257.7,389618.1,4.7617869233963436e-4,12.965897145554644,6,10,0,1,60,100,233386148.61998358,38897691.43666393,10000,0,0,0,342753.1410192962,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2031,30000,64656610.40067145,76711004.9768936,0.057730888110766286,0.5005453497302125,0.3777777777777778,success,46864.9589807038,54675.78547748776,0.754687849079727,36057,822775127.98,386975.76,4.7032991985315167e-4,13.393771751357946,7,10,0,1,70,100,281269206.7785169,40181315.254073836,10000,0,0,0,332299.97452251223,NA,NA,NA
0,0,100,0,0,0,0,0,100,100,2032,30000,76711004.9768936,89163194.57413109,0.06710211150418553,0.48332809080904054,0.3777777777777778,success,54675.78547748776,62486.61197427173,0.7196432560911166,36057,827331998.26,384333.42,4.645455763929224e-4,13.835766219152756,8,10,0,1,80,100,332058389.25966614,41507298.65745827,10000,0,0,0,321846.80802572827,NA,NA,NA
