geoid,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,prior_reduction,reduction,ireduction,z,diversification,emissions,status,base_emissions,base_vmt,base_ef,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg,min_annual_emissions_chg,effect_emissions,effect_vmt,effect_ef
36075,10,10,100,10,10,10,10,10,10,10,2026,30000,5700000,11400000,0.014763014763014764,6418.138304300866,12836.276608601733,0.9546793735091474,0.48472119413608106,0.1,507286.7433913983,success,520123.02,1068347017.14,4.868483850803332e-4,10,2,10,0,1,20,100,60000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2027,30000,11400000,17100000,0.022144522144522144,12836.276608601733,19254.414912902597,0.93201906026372106,0.47708179120412164,0.1,494866.1250870974,success,514120.54,1075753667.48,4.7791660446238574e-4,10,3,10,0,1,30,100,90000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2028,30000,17100000,22800000,0.029526029526029528,19254.414912902597,25672.553217203465,0.9093587470182948,0.4694423882721621,0.1,482445.5067827965,success,508118.06,1083160317.82,4.6910697487760004e-4,10,4,10,0,1,40,100,120000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2029,30000,22800000,28500000,0.036907536907536904,25672.553217203465,32090.691521504334,0.8866984337728685,0.4618029853402027,0.1,470024.88847849565,success,502115.57999999996,1090566968.16,4.604170075379848e-4,10,5,10,0,1,50,100,150000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2030,30000,28500000,34200000,0.04428904428904429,32090.691521504334,38508.8298258052,0.8640381205274422,0.4541635824082432,0.1,457604.27017419477,success,496113.1,1097973618.5,4.5184428081046827e-4,10,6,10,0,1,60,100,180000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2031,30000,34200000,39900000,0.05167055167055167,38508.8298258052,44926.96813010607,0.8413778072820159,0.4465241794762838,0.1,447908.77186989394,success,492835.74,1103960819.98,4.4642502802674506e-4,10,7,10,0,1,70,100,210000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2032,30000,39900000,45600000,0.059052059052059055,44926.96813010607,51345.10643440694,0.8187174940365896,0.43888477654432434,0.1,438213.27356559306,success,489558.38,1109948021.46,4.4106423952722235e-4,10,8,10,0,1,80,100,240000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2033,30000,45600000,51300000,0.06643356643356643,51345.10643440694,57763.24473870781,0.7960571807911633,0.4312453736123648,0.1,428517.7752612922,success,486281.01999999996,1115935222.94,4.3576097429639567e-4,10,9,10,0,1,90,100,270000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2034,30000,51300000,57000000,0.07381507381507381,57763.24473870781,64181.383043008675,0.773396867545737,0.4236059706804054,0.1,418822.2769569913,success,483003.66,1121922424.42,4.305143114058873e-4,10,10,10,0,1,100,100,300000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2035,30000,57000000,62700000,0.0811965811965812,64181.383043008675,70599.52134730954,0.7507365543003107,0.4159665677484459,0.1,409126.77865269047,success,479726.3,1127909625.9,4.2532334948131056e-4,10,11,10,0,1,110,100,330000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2036,30000,62700000,68400000,0.08857808857808858,70599.52134730954,77017.6596516104,0.7280762410548844,0.4083271648164865,0.1,403129.44034838956,success,480147.1,1135996224.52,4.226661054290737e-4,10,12,10,0,1,120,100,360000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2037,30000,68400000,74100000,0.09595959595959595,77017.6596516104,83435.79795591127,0.705415927809458,0.40068776188452704,0.1,397132.1020440887,success,480567.89999999997,1144082823.14,4.200464252063973e-4,10,13,10,0,1,130,100,390000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2038,30000,74100000,79800000,0.10334110334110334,83435.79795591127,89853.93626021214,0.6827556145640318,0.3930483589525675,0.1,391134.76373978786,success,480988.7,1152169421.76,4.174635178785289e-4,10,14,10,0,1,140,100,420000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2039,30000,79800000,85500000,0.11072261072261072,89853.93626021214,96272.07456451301,0.6600953013186055,0.3854089560206081,0.1,385137.425435487,success,481409.5,1160256020.38,4.1491661456092394e-4,10,15,10,0,1,150,100,450000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2040,30000,85500000,91200000,0.11810411810411811,96272.07456451301,102690.21286881388,0.6374349880731791,0.3777695530886486,0.1,379140.0871311861,success,481830.3,1168342619,4.124049676561529e-4,10,16,10,0,1,160,100,480000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2041,30000,91200000,96900000,0.12548562548562547,102690.21286881388,109108.35117311474,0.6147746748277528,0.37013015015668915,0.1,374917.1688268853,success,484025.52,1177069966.78,4.112121910000841e-4,10,17,10,0,1,170,100,510000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2042,30000,96900000,102600000,0.13286713286713286,109108.35117311474,115526.48947741561,0.5921143615823266,0.3624907472247297,0.1,370694.25052258436,success,486220.74,1185797314.56,4.1003697177406434e-4,10,18,10,0,1,180,100,540000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2043,30000,102600000,108300000,0.14024864024864026,115526.48947741561,121944.62778171648,0.5694540483369002,0.35485134429277027,0.1,366471.33221828355,success,488415.96,1194524662.3400002,4.0887892514770123e-4,10,19,10,0,1,190,100,570000000,30000000,0,0,0,0,NA,NA,NA
36075,10,10,100,10,10,10,10,10,10,10,2044,30000,108300000,114000000,0.14763014763014762,121944.62778171648,128362.76608601735,0.546793735091474,0.34721194136081074,0.1,362248.41391398263,success,490611.18,1203252010.1200001,4.077376774555078e-4,10,20,10,0,1,200,100,600000000,30000000,0,0,0,0,NA,NA,NA
