id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,z,diversification,status,prior_reduction98,reduction98,ireduction98,geoid,base_vmt,base_emissions98,base_ef98,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg98,min_annual_emissions_chg98,emissions98,effect_emissions98,effect_ef98,effect_vmt,max_abs_diff
2,0,0,100,0,0,0,0,0,100,0,2044,30000,228648839.11085784,240905109.22694185,0.18129948773688587,0.23637754812264294,0.2888888888888889,success,145330.4208382361,152526.19081488822,0.23316448680672008,36109,892054136.22,339247.30000000005,3.8029900453971356e-4,20.427116860140032,20,10,0,1,200,100,1225627011.608402,61281350.5804201,10000,0,0,0,186721.10918511183,7195.769976652121,-2.254998271444819e-6,23837815.403938293,0.5
2,0,0,100,0,0,0,0,0,100,0,2045,30000,240905109.22694185,253565836.25685665,0.19082765147017455,0.21853087403736507,0.2888888888888889,success,152526.19081488822,159721.96079154033,0.1969872772836445,36109,898522023.2,340806.9,3.7929721386933724e-4,21.101211716524645,21,10,0,1,210,100,1329376338.1410527,63303635.14957394,10000,0,0,0,181084.9392084597,7195.769976652121,-2.239443006035735e-6,23903473.019599915,0.5
2,0,0,100,0,0,0,0,0,100,0,2046,30000,253565836.25685665,266644367.27875862,0.20067024460666175,0.20084141465368643,0.2888888888888889,success,159721.96079154033,166917.73076819244,0.16081006776056894,36109,904928892.7,343189.92000000004,3.7924517911682327e-4,21.79755170316996,22,10,0,1,220,100,1438638412.4092174,65392655.109509885,10000,0,0,0,176272.1892318076,7195.769976652121,-2.2160138307691923e-6,24003557.682037354,0.5
2,0,0,100,0,0,0,0,0,100,0,2047,30000,266644367.27875862,280154489.8243834,0.21083764331665303,0.18331435805675983,0.2888888888888889,success,166917.73076819244,174113.50074484455,0.12463285823749337,36109,911335762.2,345572.94,3.791938759933808e-4,22.516870909374568,23,10,0,1,230,100,1553664092.7468452,67550612.72812371,10000,0,0,0,171459.43925515545,7195.769976652121,-2.1929749682847444e-6,24103345.87097168,0.5
2,0,0,100,0,0,0,0,0,100,0,2048,30000,280154489.8243834,294110446.41401374,0.22134056618407405,0.1659550635385481,0.2888888888888889,success,174113.50074484455,181309.27072149666,0.0884556487144178,36109,917742631.7,347955.96,3.791432891762437e-4,23.259927649383926,24,10,0,1,240,100,1674714790.7556427,69779782.94815178,10000,0,0,0,166646.68927850336,7195.769976652121,-2.170342031093675e-6,24202896.237373352,0.5
2,0,0,100,0,0,0,0,0,100,0,2049,30000,294110446.41401374,308526949.5711019,0.23219008550611994,0.14876906724764885,0.2888888888888889,success,181309.27072149666,188505.04069814878,0.05227843919134223,36109,924149501.2,350338.98,3.790934037675591e-4,24.027505261813594,25,10,0,1,250,100,1802062894.6360195,72082515.78544079,10000,0,0,0,161833.9393018512,7195.769976652121,-2.1480994066847003e-6,24302141.547203064,0.5
2,0,0,100,0,0,0,0,0,100,0,2050,30000,308526949.5711019,323419197.332374,0.24339763896579333,0.1317620880255633,0.2888888888888889,success,188505.04069814878,195700.8106748009,0.01610122966826666,36109,930556370.7,352722,3.790442052797608e-4,24.82041293545344,26,10,0,1,260,100,1935992208.9653683,74461238.80636032,10000,0,0,0,157021.1893251991,7195.769976652121,-2.1262262783761088e-6,24401129.364967346,0.5
3,0,10,100,0,10,0,5,0,100,10,2025,30000,0,7771235.705849997,0.005848448200515097,0.6049776761384602,0.25,success,0,7302.6342525832915,0.9632855232611243,36109,787066250.4,362027,4.5997017381448123e-4,11.023029369999996,1,10,0,1,10,100,33069088.10999999,33069088.10999999,10000,0,0,0,354724.3657474167,7302.6342525832915,-2.1805526134732744e-6,24926036.45324707,0.25
3,0,10,100,0,10,0,5,0,100,10,2026,30000,7771235.705849997,15798922.189993044,0.011889895191647192,0.585051851672229,0.25,success,7302.6342525832915,14605.268505166583,0.9265710465222485,36109,792534838.66,358029.76,4.517527085690626e-4,11.386789339209997,2,10,0,1,20,100,68320736.03525998,34160368.01762999,10000,0,0,0,343424.49149483343,7302.6342525832915,-2.217406206567185e-6,24760654.34217453,0.25
3,0,10,100,0,10,0,5,0,100,10,2027,30000,15798922.189993044,24091522.32811281,0.018130709933486647,0.5652257110813513,0.25,success,14605.268505166583,21907.902757749875,0.8898565697833729,36109,798003426.92,354032.52,4.4364786924090726e-4,11.762553387403925,3,10,0,1,30,100,105862980.48663533,35287660.162211776,10000,0,0,0,332124.6172422501,7302.6342525832915,-2.2553089604193666e-6,24594513.523578644,0.25
